drug,disease,mesh_id,mesh_term,chembl_id,label,n_competitors,has_competitor,n_ct_completed,n_ct_terminated,n_ct_total,term_to_total_ratio,n_expand_terms,has_expand,n_pubmed,log_n_pubmed,has_pubmed,atc_level1,atc_level2
baricitinib,"autoinflammation, immune dysregulation, and eosinophilia",,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,cancer,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,eczematoid dermatitis,D004485,eczema,CHEMBL2105759,0,0,0,6,1,7,0.14285714285714285,8,1,15,2.772588722239781,1,L,L04
baricitinib,essential thrombocythemia,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,hematologic disease,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,hemorrhagic disease,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,neoplasm,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,polycythemia vera,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,primary myelofibrosis,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,rheumatoid arthritis,,,CHEMBL2105759,1,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,splenomegaly,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,thrombocythemia 3,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
bevacizumab,age-related macular degeneration,D008268,macular degeneration,CHEMBL1201583,0,8,1,44,9,53,0.16981132075471697,10,1,59,4.0943445622221,1,S,S01
bevacizumab,retinopathy,,,CHEMBL1201583,0,8,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,diabetic retinopathy,D003930,diabetic retinopathy,CHEMBL1201583,0,6,1,25,2,27,0.07407407407407407,8,1,102,4.634728988229636,1,S,S01
bevacizumab,retinal vein occlusion,D012170,retinal vein occlusion,CHEMBL1201583,0,5,1,20,2,22,0.09090909090909091,8,1,99,4.605170185988092,1,S,S01
bevacizumab,choroidal neovascularization,,,CHEMBL1201583,0,4,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,polypoidal choroidal vasculopathy,,,CHEMBL1201583,0,3,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,corneal neovascularization,,,CHEMBL1201583,0,3,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,pathological myopia,,,CHEMBL1201583,0,3,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,myopia,,,CHEMBL1201583,0,2,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,retinopathy of prematurity,,,CHEMBL1201583,0,2,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,glaucoma,,,CHEMBL1201583,0,2,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,telangiectasis,,,CHEMBL1201583,0,2,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,hereditary hemorrhagic telangiectasia,D013683,"telangiectasia, hereditary hemorrhagic",CHEMBL1201583,0,1,1,10,1,11,0.09090909090909091,8,1,107,4.68213122712422,1,S,S01
bevacizumab,neovascular glaucoma,,,CHEMBL1201583,0,2,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,pterygium,,,CHEMBL1201583,0,1,1,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,breast cancer,D001943,breast neoplasms,CHEMBL1201583,0,0,0,0,0,0,0.0,0,0,45,3.828641396489095,1,S,S01
bevacizumab,breast neoplasm,,,CHEMBL1201583,0,0,0,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,cervical cancer,,,CHEMBL1201583,1,0,0,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,colorectal cancer,D015179,colorectal neoplasms,CHEMBL1201583,1,0,0,0,0,0,0.0,0,0,58,4.07753744390572,1,S,S01
bevacizumab,colorectal neoplasm,,,CHEMBL1201583,1,0,0,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,diabetic macular edema,D008269,macular edema,CHEMBL1201583,0,0,0,25,4,29,0.13793103448275862,8,1,135,4.912654885736052,1,S,S01
bevacizumab,macular degeneration,,,CHEMBL1201583,0,0,0,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,macular retinal edema,D008269,macular edema,CHEMBL1201583,0,0,0,25,4,29,0.13793103448275862,7,1,135,4.912654885736052,1,S,S01
bevacizumab,non-small cell lung carcinoma,D002289,"carcinoma, non-small-cell lung",CHEMBL1201583,1,0,0,0,0,0,0.0,0,0,60,4.110873864173311,1,S,S01
bevacizumab,ovarian neoplasm,,,CHEMBL1201583,1,0,0,0,0,0,0.0,0,0,0,0.0,0,S,S01
bevacizumab,renal cell carcinoma,D002292,"carcinoma, renal cell",CHEMBL1201583,1,0,0,0,0,0,0.0,0,0,21,3.091042453358316,1,S,S01
bevacizumab,wet macular degeneration,D057135,wet macular degeneration,CHEMBL1201583,0,0,0,9,0,9,0.0,8,1,110,4.709530201312334,1,S,S01
bupropion,attention deficit hyperactivity disorder,D001289,attention deficit disorder with hyperactivity,CHEMBL894,0,20,1,0,0,0,0.0,8,1,119,4.787491742782046,1,N,N06
bupropion,mood disorder,,,CHEMBL894,0,19,1,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,substance dependence,D019966,substance-related disorders,CHEMBL894,0,16,1,0,0,0,0.0,8,1,62,4.143134726391533,1,N,N06
bupropion,fibromyalgia,D005356,fibromyalgia,CHEMBL894,0,9,1,0,0,0,0.0,0,0,2,1.0986122886681098,1,N,N06
bupropion,schizophrenia,D012559,schizophrenia,CHEMBL894,0,8,1,0,0,0,0.0,0,0,54,4.007333185232471,1,N,N06
bupropion,back pain,D001416,back pain,CHEMBL894,0,7,1,0,0,0,0.0,0,0,1,0.6931471805599453,1,N,N06
bupropion,eating disorder,D001068,feeding and eating disorders,CHEMBL894,0,5,1,0,0,0,0.0,0,0,5,1.791759469228055,1,N,N06
bupropion,bipolar disorder,D001714,bipolar disorder,CHEMBL894,0,5,1,0,0,0,0.0,8,1,87,4.477336814478207,1,N,N06
bupropion,multiple sclerosis,D009103,multiple sclerosis,CHEMBL894,0,6,1,0,0,0,0.0,0,0,3,1.3862943611198906,1,N,N06
bupropion,parkinson disease,D010300,parkinson disease,CHEMBL894,0,6,1,0,0,0,0.0,0,0,16,2.833213344056216,1,N,N06
bupropion,diabetic neuropathy,,,CHEMBL894,0,6,1,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,narcolepsy,,,CHEMBL894,0,6,1,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,insomnia,,,CHEMBL894,0,5,1,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,breast cancer,D001943,breast neoplasms,CHEMBL894,0,5,1,0,0,0,0.0,0,0,9,2.302585092994046,1,N,N06
bupropion,post-traumatic stress disorder,D013313,"stress disorders, post-traumatic",CHEMBL894,0,5,1,0,0,0,0.0,8,1,20,3.044522437723423,1,N,N06
bupropion,alzheimer disease,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,anxiety disorder,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,classic dopamine transporter deficiency syndrome,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,common cold,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,cough,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,depressive disorder,,,CHEMBL894,1,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,drug dependence,D019966,substance-related disorders,CHEMBL894,0,0,0,0,0,0,0.0,0,0,62,4.143134726391533,1,N,N06
bupropion,huntington disease,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,infantile dystonia-parkinsonism,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,intellectual disability,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,major depressive disorder,D003865,major depressive disorder,CHEMBL894,1,0,0,0,0,0,0.0,0,0,186,5.231108616854587,1,N,N06
bupropion,narcolepsy-cataplexy syndrome,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,nasal congestion,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,neuropathic pain,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,obesity,D009765,obesity,CHEMBL894,0,0,0,0,0,0,0.0,8,1,167,5.123963979403259,1,N,N06
bupropion,obstructive sleep apnea,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,orthostatic intolerance,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,pain,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,"parkinsonism-dystonia, infantile",,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,seasonal allergic rhinitis,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
bupropion,sleep disorder,,,CHEMBL894,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
colchicine,lung cancer,D008175,lung neoplasms,CHEMBL107,0,17,1,0,0,0,0.0,8,1,82,4.418840607796598,1,M,M04
colchicine,breast cancer,D001943,breast neoplasms,CHEMBL107,0,16,1,0,0,0,0.0,8,1,110,4.709530201312334,1,M,M04
colchicine,prostate cancer,D011471,prostatic neoplasms,CHEMBL107,0,12,1,0,0,0,0.0,8,1,30,3.4339872044851463,1,M,M04
colchicine,urinary bladder cancer,D001749,urinary bladder neoplasms,CHEMBL107,0,11,1,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,ovarian cancer,,,CHEMBL107,0,10,1,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,lymphoma,,,CHEMBL107,0,9,1,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,gastric cancer,D013274,stomach neoplasms,CHEMBL107,0,7,1,0,0,0,0.0,8,1,12,2.5649493574615367,1,M,M04
colchicine,cervical cancer,,,CHEMBL107,0,7,1,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,triple-negative breast cancer,D064726,triple negative breast neoplasms,CHEMBL107,0,7,1,0,0,0,0.0,8,1,8,2.1972245773362196,1,M,M04
colchicine,soft tissue sarcoma,,,CHEMBL107,0,7,1,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,peritoneal cancer,,,CHEMBL107,0,7,1,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,colorectal cancer,D015179,colorectal neoplasms,CHEMBL107,0,6,1,0,0,0,0.0,8,1,13,2.6390573296152584,1,M,M04
colchicine,multiple myeloma,D009101,multiple myeloma,CHEMBL107,0,5,1,0,0,0,0.0,0,0,1,0.6931471805599453,1,M,M04
colchicine,fallopian tube cancer,,,CHEMBL107,0,5,1,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,melanoma,D008545,melanoma,CHEMBL107,0,5,1,0,0,0,0.0,0,0,13,2.6390573296152584,1,M,M04
colchicine,amyotrophic lateral sclerosis,D000690,amyotrophic lateral sclerosis,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,amyotrophic lateral sclerosis type 22,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,autosomal dominant macrothrombocytopenia,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,breast carcinoma,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,breast neoplasm,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,complex cortical dysplasia with other brain malformations 1,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,complex cortical dysplasia with other brain malformations 5,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,complex cortical dysplasia with other brain malformations 6,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,complex cortical dysplasia with other brain malformations 7,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,congenital fibrosis of the extraocular muscles,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,cortical dysgenesis with pontocerebellar hypoplasia due to tubb3 mutation,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,diffuse large b-cell lymphoma,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,familial mediterranean fever,,,CHEMBL107,1,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,female infertility due to fertilization defect,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,"fibrosis of extraocular muscles, congenital, 3a, with or without extraocular involvement",,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,genetic central nervous system malformation,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,gout,,,CHEMBL107,1,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,head and neck malignant neoplasia,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,hemorrhagic disease,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,hodgkins lymphoma,D006689,hodgkin disease,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,hypomyelinating leukodystrophy 6,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,hypomyelination with atrophy of basal ganglia and cerebellum,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,intellectual disability,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,leber congenital amaurosis with early-onset deafness,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,lissencephaly,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,lissencephaly due to tuba1a mutation,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,lissencephaly type 3,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,multiple benign circumferential skin creases on limbs,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,multiple benign circumferential skin creases on limbs 1,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,neoplasm,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,non-small cell lung carcinoma,D002289,"carcinoma, non-small-cell lung",CHEMBL107,0,0,0,0,0,0,0.0,0,0,28,3.367295829986474,1,M,M04
colchicine,polymicrogyria due to tubb2b mutation,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,"primary dystonia, dyt4 type",,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,stomach neoplasm,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,torsion dystonia 4,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,tubb3-related tubulinopathy,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,tubulinopathy,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
colchicine,tubulinopathy-associated dysgyria,,,CHEMBL107,0,0,0,0,0,0,0.0,0,0,0,0.0,0,M,M04
dasatinib,gastrointestinal stromal tumor,D046152,gastrointestinal stromal tumors,CHEMBL1421,0,17,1,0,0,0,0.0,0,0,22,3.1354942159291497,1,,
dasatinib,breast cancer,D001943,breast neoplasms,CHEMBL1421,0,17,1,0,0,0,0.0,0,0,72,4.290459441148391,1,,
dasatinib,myeloid leukemia,,,CHEMBL1421,0,17,1,0,0,0,0.0,0,0,0,0.0,0,,
dasatinib,glioblastoma multiforme,D005909,glioblastoma,CHEMBL1421,0,15,1,0,0,0,0.0,0,0,38,3.6635616461296463,1,,
dasatinib,lung cancer,D008175,lung neoplasms,CHEMBL1421,0,15,1,0,0,0,0.0,0,0,124,4.8283137373023015,1,,
dasatinib,renal cell carcinoma,D002292,"carcinoma, renal cell",CHEMBL1421,0,15,1,0,0,0,0.0,0,0,2,1.0986122886681098,1,,
dasatinib,pancreatic carcinoma,D010190,pancreatic neoplasms,CHEMBL1421,0,11,1,0,0,0,0.0,0,0,9,2.302585092994046,1,,
dasatinib,melanoma,D008545,melanoma,CHEMBL1421,0,11,1,0,0,0,0.0,0,0,34,3.5553480614894135,1,,
dasatinib,colorectal cancer,D015179,colorectal neoplasms,CHEMBL1421,0,12,1,0,0,0,0.0,0,0,8,2.1972245773362196,1,,
dasatinib,prostate cancer,D011471,prostatic neoplasms,CHEMBL1421,0,10,1,0,0,0,0.0,0,0,49,3.912023005428146,1,,
dasatinib,multiple myeloma,D009101,multiple myeloma,CHEMBL1421,0,9,1,0,0,0,0.0,0,0,8,2.1972245773362196,1,,
dasatinib,hepatocellular carcinoma,D006528,"carcinoma, hepatocellular",CHEMBL1421,0,10,1,0,0,0,0.0,0,0,31,3.4657359027997265,1,,
dasatinib,gastric cancer,D013274,stomach neoplasms,CHEMBL1421,0,10,1,0,0,0,0.0,0,0,11,2.4849066497880004,1,,
dasatinib,ovarian cancer,,,CHEMBL1421,0,10,1,0,0,0,0.0,0,0,0,0.0,0,,
dasatinib,thyroid cancer,D013964,thyroid neoplasms,CHEMBL1421,0,10,1,0,0,0,0.0,0,0,2,1.0986122886681098,1,,
disulfiram,non-small cell lung carcinoma,D002289,"carcinoma, non-small-cell lung",CHEMBL964,0,0,0,1,0,1,0.0,7,1,21,3.091042453358316,1,P,P03
disulfiram,cocaine dependence,D019970,cocaine-related disorders,CHEMBL964,0,0,0,9,0,9,0.0,7,1,20,3.044522437723423,1,P,P03
disulfiram,glioblastoma multiforme,D005909,glioblastoma,CHEMBL964,0,0,0,5,2,7,0.2857142857142857,8,1,39,3.6888794541139363,1,P,P03
disulfiram,melanoma,D008545,melanoma,CHEMBL964,0,0,0,2,1,3,0.3333333333333333,8,1,20,3.044522437723423,1,P,P03
disulfiram,germ cell tumor,D009373,"neoplasms, germ cell and embryonal",CHEMBL964,0,0,0,1,0,1,0.0,8,1,1,0.6931471805599453,1,P,P03
disulfiram,covid-19,D000086382,covid-19,CHEMBL964,0,0,0,1,1,2,0.5,8,1,16,2.833213344056216,1,P,P03
disulfiram,methamphetamine dependence,,,CHEMBL964,0,0,0,0,0,0,0.0,8,1,0,0.0,0,P,P03
disulfiram,fatigue,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,inherited retinal dystrophy,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,prostate cancer,D011471,prostatic neoplasms,CHEMBL964,0,0,0,1,1,2,0.5,7,1,17,2.8903717578961645,1,P,P03
disulfiram,multiple myeloma,D009101,multiple myeloma,CHEMBL964,0,0,0,0,1,1,1.0,7,1,8,2.1972245773362196,1,P,P03
disulfiram,hiv-1 infection,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,alcohol dependence,D000437,alcoholism,CHEMBL964,1,0,0,0,0,0,0.0,7,1,87,4.477336814478207,1,P,P03
disulfiram,alcohol drinking,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,alcohol-related disorders,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,"amed syndrome, digenic",,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,atrial fibrillation,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,chronic obstructive pulmonary disease,D029424,"pulmonary disease, chronic obstructive",CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,cirrhosis of liver,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,colorectal cancer,D015179,colorectal neoplasms,CHEMBL964,0,0,0,0,0,0,0.0,0,0,7,2.0794415416798357,1,P,P03
disulfiram,coronary artery disease,D003324,coronary artery disease,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,esophageal carcinoma,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,gout,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,ischemic stroke,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,myocardial infarction,,,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
disulfiram,parasitic infection,D010272,parasitic diseases,CHEMBL964,0,0,0,0,0,0,0.0,7,1,0,0.0,0,P,P03
disulfiram,stroke,D020521,stroke,CHEMBL964,0,0,0,0,0,0,0.0,0,0,0,0.0,0,P,P03
duloxetine,attention deficit hyperactivity disorder,D001289,attention deficit disorder with hyperactivity,CHEMBL1175,0,19,1,2,0,2,0.0,8,1,18,2.9444389791664403,1,N,N06
duloxetine,obesity,D009765,obesity,CHEMBL1175,0,14,1,0,0,0,0.0,8,1,7,2.0794415416798357,1,N,N06
duloxetine,cocaine dependence,D019970,cocaine-related disorders,CHEMBL1175,0,14,1,0,0,0,0.0,9,1,0,0.0,0,N,N06
duloxetine,bipolar disorder,D001714,bipolar disorder,CHEMBL1175,0,13,1,1,0,1,0.0,8,1,11,2.4849066497880004,1,N,N06
duloxetine,anxiety,,,CHEMBL1175,0,12,1,0,0,0,0.0,0,0,0,0.0,0,N,N06
duloxetine,fibromyalgia,D005356,fibromyalgia,CHEMBL1175,1,9,1,7,0,7,0.0,8,1,91,4.5217885770490405,1,N,N06
duloxetine,alcohol dependence,D000437,alcoholism,CHEMBL1175,0,10,1,0,0,0,0.0,8,1,1,0.6931471805599453,1,N,N06
duloxetine,obsessive-compulsive disorder,D009771,obsessive-compulsive disorder,CHEMBL1175,0,9,1,2,0,2,0.0,8,1,8,2.1972245773362196,1,N,N06
duloxetine,schizophrenia,D012559,schizophrenia,CHEMBL1175,0,10,1,1,0,1,0.0,8,1,7,2.0794415416798357,1,N,N06
duloxetine,post-traumatic stress disorder,D013313,"stress disorders, post-traumatic",CHEMBL1175,0,8,1,2,1,3,0.3333333333333333,8,1,6,1.9459101490553132,1,N,N06
duloxetine,nicotine dependence,,,CHEMBL1175,0,8,1,0,0,0,0.0,0,0,0,0.0,0,N,N06
duloxetine,drug dependence,D019966,substance-related disorders,CHEMBL1175,0,8,1,0,0,0,0.0,0,0,3,1.3862943611198906,1,N,N06
duloxetine,eating disorder,D001068,feeding and eating disorders,CHEMBL1175,0,8,1,0,0,0,0.0,8,1,1,0.6931471805599453,1,N,N06
duloxetine,irritable bowel syndrome,D043183,irritable bowel syndrome,CHEMBL1175,0,7,1,3,0,3,0.0,8,1,10,2.3978952727983707,1,N,N06
duloxetine,parkinson disease,D010300,parkinson disease,CHEMBL1175,0,6,1,0,0,0,0.0,0,0,7,2.0794415416798357,1,N,N06
duloxetine,anxiety disorder,,,CHEMBL1175,0,8,1,0,0,0,0.0,0,0,0,0.0,0,N,N06
duloxetine,common cold,,,CHEMBL1175,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
duloxetine,cough,,,CHEMBL1175,0,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
duloxetine,depressive disorder,,,CHEMBL1175,1,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
duloxetine,diabetic neuropathy,,,CHEMBL1175,1,0,0,0,0,0,0.0,0,0,0,0.0,0,N,N06
duloxetine,generalized anxiety disorder,D000098647,generalized anxiety disorder,CHEMBL1175,1,8,1,0,0,0,0.0,8,1,0,0.0,0,N,N06
duloxetine,major depressive disorder,D003865,major depressive disorder,CHEMBL1175,1,40,1,0,0,0,0.0,0,0,80,4.394449154672439,1,N,N06
